"","Year","Player","STL","PTS","AST","BLK","TRB"
"4054",1974,"Larry Steele",217,NA,NA,NA,NA
"4002",1974,"Steve Mix",212,NA,NA,NA,NA
"4050",1974,"Randy Smith",203,NA,NA,NA,NA
"4046",1974,"Jerry Sloan*",183,NA,NA,NA,NA
"3862",1974,"Rick Barry*",169,NA,NA,NA,NA
"4064",1974,"Norm Van",162,NA,NA,NA,NA
"3917",1974,"Walt Frazier*",161,NA,NA,NA,NA
"3947",1974,"Lou Hudson",160,NA,NA,NA,NA
"4008",1974,"Calvin Murphy*",157,NA,NA,NA,NA
"4022",1974,"Jim Price",157,NA,NA,NA,NA
"4117",1975,"Rick Barry*",228,NA,NA,NA,NA
"4191",1975,"Walt Frazier*",190,NA,NA,NA,NA
"4349",1975,"Slick Watts",190,NA,NA,NA,NA
"4143",1975,"Fred Brown",187,NA,NA,NA,NA
"4322",1975,"Larry Steele",183,NA,NA,NA,NA
"4154",1975,"Phil Chenier",176,NA,NA,NA,NA
"4310",1975,"Jerry Sloan*",171,NA,NA,NA,NA
"4209",1975,"Elvin Hayes*",158,NA,NA,NA,NA
"4287",1975,"Kevin Porter",152,NA,NA,NA,NA
"4291",1975,"Ed Ratleff",146,NA,NA,NA,NA
"4627",1976,"Slick Watts",261,NA,NA,NA,NA
"4632",1976,"Paul Westphal",210,NA,NA,NA,NA
"4390",1976,"Rick Barry*",202,NA,NA,NA,NA
"4536",1976,"George McGinnis",198,NA,NA,NA,NA
"4453",1976,"Chris Ford",178,NA,NA,NA,NA
"4609",1976,"Larry Steele",170,NA,NA,NA,NA
"4422",1976,"Phil Chenier",158,NA,NA,NA,NA
"4548",1976,"Steve Mix",158,NA,NA,NA,NA
"4603",1976,"Randy Smith",153,NA,NA,NA,NA
"4553",1976,"Calvin Murphy*",151,NA,NA,NA,NA
"4696",1977,"Don Buse",281,NA,NA,NA,NA
"4976",1977,"Slick Watts",214,NA,NA,NA,NA
"4947",1977,"Brian Taylor",199,NA,NA,NA,NA
"4693",1977,"Quinn Buckner",192,NA,NA,NA,NA
"4757",1977,"Mike Gale",191,NA,NA,NA,NA
"4815",1977,"Bobby Jones",186,NA,NA,NA,NA
"4750",1977,"Chris Ford",179,NA,NA,NA,NA
"4937",1977,"Randy Smith",176,NA,NA,NA,NA
"4669",1977,"Rick Barry*",172,NA,NA,NA,NA
"4797",1977,"Wilbur Holland",169,NA,NA,NA,NA
"5213",1978,"Ron Lee",225,NA,NA,NA,NA
"5060",1978,"Quinn Buckner",188,NA,NA,NA,NA
"5063",1978,"Don Buse",185,NA,NA,NA,NA
"5368",1978,"Gus Williams",185,NA,NA,NA,NA
"5341",1978,"Foots Walker",176,NA,NA,NA,NA
"5322",1978,"Randy Smith",172,NA,NA,NA,NA
"5326",1978,"Ricky Sobers",170,NA,NA,NA,NA
"5126",1978,"Chris Ford",166,NA,NA,NA,NA
"5167",1978,"Wilbur Holland",164,NA,NA,NA,NA
"5217",1978,"John Lucas",160,NA,NA,NA,NA
"5551",1979,"Eddie Jordan",201,NA,NA,NA,NA
"5611",1979,"Norm Nixon",201,NA,NA,NA,NA
"5438",1979,"M.L. Carr",197,NA,NA,NA,NA
"5670",1979,"Randy Smith",177,NA,NA,NA,NA
"5444",1979,"Maurice Cheeks",174,NA,NA,NA,NA
"5485",1979,"Phil Ford",174,NA,NA,NA,NA
"5622",1979,"Kevin Porter",158,NA,NA,NA,NA
"5720",1979,"Gus Williams",158,NA,NA,NA,NA
"5428",1979,"Quinn Buckner",156,NA,NA,NA,NA
"5431",1979,"Don Buse",156,NA,NA,NA,NA
"6003",1980,"Micheal Ray",265,NA,NA,NA,NA
"5901",1980,"Eddie Jordan",223,NA,NA,NA,NA
"5760",1980,"Dudley Bradley",211,NA,NA,NA,NA
"6073",1980,"Gus Williams",200,NA,NA,NA,NA
"5890",1980,"Magic Johnson*",187,NA,NA,NA,NA
"5788",1980,"Maurice Cheeks",183,NA,NA,NA,NA
"5985",1980,"Sonny Parker",173,NA,NA,NA,NA
"5832",1980,"Julius Erving*",170,NA,NA,NA,NA
"6074",1980,"Ray Williams",167,NA,NA,NA,NA
"6053",1980,"Foots Walker",155,NA,NA,NA,NA
"6365",1981,"Micheal Ray",232,NA,NA,NA,NA
"6120",1981,"Quinn Buckner",197,NA,NA,NA,NA
"6135",1981,"Maurice Cheeks",193,NA,NA,NA,NA
"6106",1981,"Dudley Bradley",186,NA,NA,NA,NA
"6441",1981,"Ray Williams",185,NA,NA,NA,NA
"6180",1981,"Julius Erving*",173,NA,NA,NA,NA
"6288",1981,"Ron Lee",166,NA,NA,NA,NA
"6362",1981,"Robert Reid",163,NA,NA,NA,NA
"6101",1981,"Larry Bird*",161,NA,NA,NA,NA
"6338",1981,"Norm Nixon",146,NA,NA,NA,NA
"6730",1982,"Micheal Ray",213,NA,NA,NA,NA
"6505",1982,"Maurice Cheeks",209,NA,NA,NA,NA
"6612",1982,"Magic Johnson*",208,NA,NA,NA,NA
"6806",1982,"Ray Williams",199,NA,NA,NA,NA
"6563",1982,"Rickey Green",185,NA,NA,NA,NA
"6488",1982,"Quinn Buckner",174,NA,NA,NA,NA
"6804",1982,"Gus Williams",172,NA,NA,NA,NA
"6493",1982,"Don Buse",164,NA,NA,NA,NA
"6696",1982,"Johnny Moore",163,NA,NA,NA,NA
"6547",1982,"Julius Erving*",161,NA,NA,NA,NA
"6943",1983,"Rickey Green",220,NA,NA,NA,NA
"7158",1983,"Isiah Thomas*",199,NA,NA,NA,NA
"6877",1983,"Darwin Cook",194,NA,NA,NA,NA
"7068",1983,"Johnny Moore",194,NA,NA,NA,NA
"6874",1983,"Maurice Cheeks",184,NA,NA,NA,NA
"7108",1983,"Micheal Ray",182,NA,NA,NA,NA
"7199",1983,"Gus Williams",182,NA,NA,NA,NA
"6984",1983,"Magic Johnson*",176,NA,NA,NA,NA
"7030",1983,"Allen Leavell",165,NA,NA,NA,NA
"7032",1983,"Fat Lever",153,NA,NA,NA,NA
"7317",1984,"Rickey Green",215,NA,NA,NA,NA
"7499",1984,"Isiah Thomas*",204,NA,NA,NA,NA
"7543",1984,"Gus Williams",189,NA,NA,NA,NA
"7288",1984,"T.R. Dunn",173,NA,NA,NA,NA
"7256",1984,"Maurice Cheeks",171,NA,NA,NA,NA
"7261",1984,"Darwin Cook",164,NA,NA,NA,NA
"7260",1984,"Lester Conner",162,NA,NA,NA,NA
"7546",1984,"Ray Williams",162,NA,NA,NA,NA
"7349",1984,"Magic Johnson*",150,NA,NA,NA,NA
"7231",1984,"Larry Bird*",144,NA,NA,NA,NA
"7805",1985,"Micheal Ray",243,NA,NA,NA,NA
"7771",1985,"Johnny Moore",229,NA,NA,NA,NA
"7735",1985,"Fat Lever",202,NA,NA,NA,NA
"7717",1985,"Michael Jordan*",196,NA,NA,NA,NA
"7858",1985,"Isiah Thomas*",187,NA,NA,NA,NA
"7902",1985,"Gus Williams",178,NA,NA,NA,NA
"7635",1985,"Clyde Drexler*",177,NA,NA,NA,NA
"7605",1985,"Maurice Cheeks",169,NA,NA,NA,NA
"7882",1985,"Darrell Walker",167,NA,NA,NA,NA
"7806",1985,"Doc Rivers",163,NA,NA,NA,NA
"8192",1986,"Alvin Robertson",301,NA,NA,NA,NA
"7975",1986,"Maurice Cheeks",207,NA,NA,NA,NA
"8009",1986,"Clyde Drexler*",197,NA,NA,NA,NA
"8113",1986,"Fat Lever",178,NA,NA,NA,NA
"7937",1986,"Charles Barkley*",173,NA,NA,NA,NA
"8226",1986,"Isiah Thomas*",171,NA,NA,NA,NA
"8182",1986,"Paul Pressey",168,NA,NA,NA,NA
"7941",1986,"Larry Bird*",166,NA,NA,NA,NA
"8024",1986,"Sleepy Floyd",157,NA,NA,NA,NA
"8219",1986,"John Stockton*",157,NA,NA,NA,NA
"8569",1987,"Alvin Robertson",260,NA,NA,NA,NA
"8470",1987,"Michael Jordan*",236,NA,NA,NA,NA
"8430",1987,"Ron Harper",209,NA,NA,NA,NA
"8386",1987,"Clyde Drexler*",204,NA,NA,NA,NA
"8485",1987,"Fat Lever",201,NA,NA,NA,NA
"8352",1987,"Maurice Cheeks",180,NA,NA,NA,NA
"8603",1987,"John Stockton*",177,NA,NA,NA,NA
"8567",1987,"Doc Rivers",171,NA,NA,NA,NA
"8429",1987,"Derek Harper",167,NA,NA,NA,NA
"8558",1987,"Terry Porter",159,NA,NA,NA,NA
"8870",1988,"Michael Jordan*",259,NA,NA,NA,NA
"8979",1988,"Alvin Robertson",243,NA,NA,NA,NA
"9019",1988,"John Stockton*",242,NA,NA,NA,NA
"8884",1988,"Fat Lever",223,NA,NA,NA,NA
"8853",1988,"Mark Jackson",205,NA,NA,NA,NA
"8771",1988,"Clyde Drexler*",203,NA,NA,NA,NA
"8914",1988,"Nate McMillan",169,NA,NA,NA,NA
"8685",1988,"Michael Adams",168,NA,NA,NA,NA
"8817",1988,"Derek Harper",168,NA,NA,NA,NA
"8732",1988,"Maurice Cheeks",167,NA,NA,NA,NA
"9462",1989,"John Stockton*",263,NA,NA,NA,NA
"9298",1989,"Michael Jordan*",234,NA,NA,NA,NA
"9203",1989,"Clyde Drexler*",213,NA,NA,NA,NA
"9383",1989,"Hakeem Olajuwon*",213,NA,NA,NA,NA
"9418",1989,"Alvin Robertson",197,NA,NA,NA,NA
"9322",1989,"Fat Lever",195,NA,NA,NA,NA
"9257",1989,"Ron Harper",185,NA,NA,NA,NA
"9173",1989,"Lester Conner",181,NA,NA,NA,NA
"9416",1989,"Doc Rivers",181,NA,NA,NA,NA
"9364",1989,"Chris Mullin*",176,NA,NA,NA,NA
"9748",1990,"Michael Jordan*",227,NA,NA,NA,NA
"9859",1990,"Scottie Pippen*",211,NA,NA,NA,NA
"9881",1990,"Alvin Robertson",207,NA,NA,NA,NA
"9924",1990,"John Stockton*",207,NA,NA,NA,NA
"9702",1990,"Derek Harper",187,NA,NA,NA,NA
"9623",1990,"Tyrone Corbin",175,NA,NA,NA,NA
"9841",1990,"Hakeem Olajuwon*",174,NA,NA,NA,NA
"9619",1990,"Lester Conner",172,NA,NA,NA,NA
"9775",1990,"Fat Lever",168,NA,NA,NA,NA
"9578",1990,"Muggsy Bogues",166,NA,NA,NA,NA
"10335",1991,"Alvin Robertson",246,NA,NA,NA,NA
"10378",1991,"John Stockton*",234,NA,NA,NA,NA
"10213",1991,"Michael Jordan*",223,NA,NA,NA,NA
"10176",1991,"Tim Hardaway",214,NA,NA,NA,NA
"10315",1991,"Scottie Pippen*",193,NA,NA,NA,NA
"10181",1991,"Hersey Hawkins",178,NA,NA,NA,NA
"10281",1991,"Chris Mullin*",173,NA,NA,NA,NA
"10045",1991,"Mookie Blaylock",169,NA,NA,NA,NA
"10302",1991,"Gary Payton*",165,NA,NA,NA,NA
"10208",1991,"Kevin Johnson",163,NA,NA,NA,NA
"10845",1992,"John Stockton*",244,NA,NA,NA,NA
"10893",1992,"Micheal Williams",233,NA,NA,NA,NA
"10796",1992,"Alvin Robertson",210,NA,NA,NA,NA
"10667",1992,"Michael Jordan*",182,NA,NA,NA,NA
"10738",1992,"Chris Mullin*",173,NA,NA,NA,NA
"10493",1992,"Mookie Blaylock",170,NA,NA,NA,NA
"10494",1992,"Muggsy Bogues",170,NA,NA,NA,NA
"10862",1992,"Sedale Threatt",168,NA,NA,NA,NA
"10627",1992,"Tim Hardaway",164,NA,NA,NA,NA
"10648",1992,"Jeff Hornacek",158,NA,NA,NA,NA
"11107",1993,"Michael Jordan*",221,NA,NA,NA,NA
"10953",1993,"Mookie Blaylock",203,NA,NA,NA,NA
"11296",1993,"John Stockton*",199,NA,NA,NA,NA
"11074",1993,"Ron Harper",177,NA,NA,NA,NA
"11206",1993,"Gary Payton*",177,NA,NA,NA,NA
"11177",1993,"Eric Murdock",174,NA,NA,NA,NA
"11166",1993,"Nate McMillan",173,NA,NA,NA,NA
"11218",1993,"Scottie Pippen*",173,NA,NA,NA,NA
"11340",1993,"Micheal Williams",165,NA,NA,NA,NA
"10954",1993,"Muggsy Bogues",161,NA,NA,NA,NA
"11656",1994,"Nate McMillan",216,NA,NA,NA,NA
"11396",1994,"Mookie Blaylock",212,NA,NA,NA,NA
"11713",1994,"Scottie Pippen*",211,NA,NA,NA,NA
"11778",1994,"John Stockton*",199,NA,NA,NA,NA
"11671",1994,"Eric Murdock",197,NA,NA,NA,NA
"11541",1994,"Anfernee Hardaway",190,NA,NA,NA,NA
"11701",1994,"Gary Payton*",188,NA,NA,NA,NA
"11774",1994,"Latrell Sprewell",180,NA,NA,NA,NA
"11535",1994,"Tom Gugliotta",172,NA,NA,NA,NA
"11617",1994,"Fat Lever",159,NA,NA,NA,NA
"12160",1995,"Scottie Pippen*",232,NA,NA,NA,NA
"12146",1995,"Gary Payton*",204,NA,NA,NA,NA
"11874",1995,"Mookie Blaylock",200,NA,NA,NA,NA
"12228",1995,"John Stockton*",194,NA,NA,NA,NA
"12109",1995,"Nate McMillan",165,NA,NA,NA,NA
"12151",1995,"Elliot Perry",156,NA,NA,NA,NA
"12055",1995,"Jason Kidd",151,NA,NA,NA,NA
"11863",1995,"Dana Barros",149,NA,NA,NA,NA
"11944",1995,"Clyde Drexler*",136,NA,NA,NA,NA
"12183",1995,"David Robinson*",134,NA,NA,NA,NA
"12647",1996,"Gary Payton*",231,NA,NA,NA,NA
"12331",1996,"Mookie Blaylock",212,NA,NA,NA,NA
"12529",1996,"Michael Jordan*",180,NA,NA,NA,NA
"12537",1996,"Jason Kidd",175,NA,NA,NA,NA
"12487",1996,"Anfernee Hardaway",166,NA,NA,NA,NA
"12696",1996,"Alvin Robertson",166,NA,NA,NA,NA
"12497",1996,"Hersey Hawkins",149,NA,NA,NA,NA
"12757",1996,"John Stockton*",140,NA,NA,NA,NA
"12479",1996,"Tom Gugliotta",139,NA,NA,NA,NA
"12574",1996,"Karl Malone*",138,NA,NA,NA,NA
"12877",1997,"Mookie Blaylock",212,NA,NA,NA,NA
"12936",1997,"Doug Christie",201,NA,NA,NA,NA
"13235",1997,"Gary Payton*",197,NA,NA,NA,NA
"13095",1997,"Eddie Jones",189,NA,NA,NA,NA
"13010",1997,"Rick Fox",167,NA,NA,NA,NA
"13338",1997,"John Stockton*",166,NA,NA,NA,NA
"12851",1997,"Kenny Anderson",162,NA,NA,NA,NA
"13378",1997,"David Wesley",162,NA,NA,NA,NA
"13057",1997,"Hersey Hawkins",159,NA,NA,NA,NA
"13077",1997,"Allen Iverson*",157,NA,NA,NA,NA
"13667",1998,"Brevin Knight",196,NA,NA,NA,NA
"13507",1998,"Doug Christie",190,NA,NA,NA,NA
"13759",1998,"Gary Payton*",185,NA,NA,NA,NA
"13460",1998,"Mookie Blaylock",183,NA,NA,NA,NA
"13637",1998,"Allen Iverson*",176,NA,NA,NA,NA
"13664",1998,"Jason Kidd",162,NA,NA,NA,NA
"13653",1998,"Eddie Jones",160,NA,NA,NA,NA
"13589",1998,"Kendall Gill",156,NA,NA,NA,NA
"13615",1998,"Hersey Hawkins",148,NA,NA,NA,NA
"13917",1998,"Charlie Ward",144,NA,NA,NA,NA
"14130",1999,"Kendall Gill",134,NA,NA,NA,NA
"14196",1999,"Eddie Jones",125,NA,NA,NA,NA
"14207",1999,"Jason Kidd",114,NA,NA,NA,NA
"14050",1999,"Doug Christie",113,NA,NA,NA,NA
"14144",1999,"Anfernee Hardaway",111,NA,NA,NA,NA
"14178",1999,"Allen Iverson*",110,NA,NA,NA,NA
"14313",1999,"Gary Payton*",109,NA,NA,NA,NA
"13977",1999,"Darrell Armstrong",108,NA,NA,NA,NA
"14429",1999,"Charlie Ward",103,NA,NA,NA,NA
"14389",1999,"Eric Snow",100,NA,NA,NA,NA
"14711",2000,"Eddie Jones",192,NA,NA,NA,NA
"14486",2000,"Darrell Armstrong",169,NA,NA,NA,NA
"14826",2000,"Gary Payton*",153,NA,NA,NA,NA
"14835",2000,"Paul Pierce",152,NA,NA,NA,NA
"14509",2000,"Mookie Blaylock",146,NA,NA,NA,NA
"14686",2000,"Allen Iverson*",144,NA,NA,NA,NA
"14896",2000,"John Stockton*",143,NA,NA,NA,NA
"14884",2000,"Eric Snow",140,NA,NA,NA,NA
"14480",2000,"Kenny Anderson",139,NA,NA,NA,NA
"14642",2000,"Kendall Gill",139,NA,NA,NA,NA
"15053",2001,"Doug Christie",183,NA,NA,NA,NA
"15187",2001,"Allen Iverson*",178,NA,NA,NA,NA
"15082",2001,"Baron Davis",170,NA,NA,NA,NA
"15220",2001,"Jason Kidd",166,NA,NA,NA,NA
"15002",2001,"Mookie Blaylock",163,NA,NA,NA,NA
"15019",2001,"Terrell Brandon",161,NA,NA,NA,NA
"15502",2001,"Metta World",152,NA,NA,NA,NA
"15128",2001,"Steve Francis",141,NA,NA,NA,NA
"15366",2001,"Paul Pierce",138,NA,NA,NA,NA
"15470",2001,"Antoine Walker",138,NA,NA,NA,NA
"15755",2002,"Jason Kidd",175,NA,NA,NA,NA
"15623",2002,"Baron Davis",172,NA,NA,NA,NA
"15722",2002,"Allen Iverson*",168,NA,NA,NA,NA
"15599",2002,"Doug Christie",160,NA,NA,NA,NA
"15526",2002,"Darrell Armstrong",157,NA,NA,NA,NA
"15872",2002,"Paul Pierce",154,NA,NA,NA,NA
"15783",2002,"Karl Malone*",152,NA,NA,NA,NA
"15945",2002,"John Stockton*",152,NA,NA,NA,NA
"15786",2002,"Shawn Marion",149,NA,NA,NA,NA
"15538",2002,"Brent Barry",147,NA,NA,NA,NA
"16214",2003,"Allen Iverson*",225,NA,NA,NA,NA
"16272",2003,"Shawn Marion",185,NA,NA,NA,NA
"16071",2003,"Kobe Bryant",181,NA,NA,NA,NA
"16093",2003,"Doug Christie",180,NA,NA,NA,NA
"16244",2003,"Jason Kidd",179,NA,NA,NA,NA
"16486",2003,"Metta World",159,NA,NA,NA,NA
"16149",2003,"Steve Francis",141,NA,NA,NA,NA
"16353",2003,"Paul Pierce",139,NA,NA,NA,NA
"16078",2003,"Caron Butler",137,NA,NA,NA,NA
"16413",2003,"John Stockton*",137,NA,NA,NA,NA
"16805",2004,"Shawn Marion",167,NA,NA,NA,NA
"16622",2004,"Baron Davis",158,NA,NA,NA,NA
"17071",2004,"Metta World",152,NA,NA,NA,NA
"16599",2004,"Doug Christie",151,NA,NA,NA,NA
"16775",2004,"Andrei Kirilenko",150,NA,NA,NA,NA
"17021",2004,"Ben Wallace",143,NA,NA,NA,NA
"16744",2004,"Stephen Jackson",142,NA,NA,NA,NA
"16838",2004,"Andre Miller",142,NA,NA,NA,NA
"16670",2004,"Steve Francis",139,NA,NA,NA,NA
"16917",2004,"James Posey",137,NA,NA,NA,NA
"17331",2005,"Allen Iverson*",180,NA,NA,NA,NA
"17345",2005,"LeBron James",177,NA,NA,NA,NA
"17322",2005,"Larry Hughes",176,NA,NA,NA,NA
"17399",2005,"Shawn Marion",163,NA,NA,NA,NA
"17095",2005,"Gilbert Arenas",139,NA,NA,NA,NA
"17328",2005,"Andre Iguodala",138,NA,NA,NA,NA
"17412",2005,"Tracy McGrady",135,NA,NA,NA,NA
"17491",2005,"Paul Pierce",133,NA,NA,NA,NA
"17376",2005,"Brevin Knight",131,NA,NA,NA,NA
"17127",2005,"Mike Bibby",124,NA,NA,NA,NA
"18053",2006,"Chris Paul",175,NA,NA,NA,NA
"17678",2006,"Gilbert Arenas",161,NA,NA,NA,NA
"17972",2006,"Shawn Marion",160,NA,NA,NA,NA
"17949",2006,"Brevin Knight",157,NA,NA,NA,NA
"17946",2006,"Jason Kidd",150,NA,NA,NA,NA
"17743",2006,"Kobe Bryant",147,NA,NA,NA,NA
"18177",2006,"Dwyane Wade",146,NA,NA,NA,NA
"18181",2006,"Ben Wallace",146,NA,NA,NA,NA
"17905",2006,"Allen Iverson*",140,NA,NA,NA,NA
"18048",2006,"Smush Parker",140,NA,NA,NA,NA
"18517",2007,"Shawn Marion",156,NA,NA,NA,NA
"18442",2007,"Andre Iguodala",152,NA,NA,NA,NA
"18738",2007,"Metta World",149,NA,NA,NA,NA
"18704",2007,"Gerald Wallace",144,NA,NA,NA,NA
"18242",2007,"Gilbert Arenas",139,NA,NA,NA,NA
"18331",2007,"Baron Davis",135,NA,NA,NA,NA
"18299",2007,"Caron Butler",134,NA,NA,NA,NA
"18357",2007,"Monta Ellis",132,NA,NA,NA,NA
"18234",2007,"Rafer Alston",129,NA,NA,NA,NA
"18636",2007,"Rajon Rondo",128,NA,NA,NA,NA
"19165",2008,"Chris Paul",217,NA,NA,NA,NA
"18866",2008,"Baron Davis",191,NA,NA,NA,NA
"19003",2008,"Andre Iguodala",171,NA,NA,NA,NA
"19008",2008,"Allen Iverson*",160,NA,NA,NA,NA
"18826",2008,"Kobe Bryant",151,NA,NA,NA,NA
"19018",2008,"LeBron James",138,NA,NA,NA,NA
"19055",2008,"Jason Kidd",136,NA,NA,NA,NA
"19327",2008,"Metta World",133,NA,NA,NA,NA
"19284",2008,"Gerald Wallace",131,NA,NA,NA,NA
"18811",2008,"Ronnie Brewer",129,NA,NA,NA,NA
"19753",2009,"Chris Paul",216,NA,NA,NA,NA
"19878",2009,"Dwyane Wade",173,NA,NA,NA,NA
"19444",2009,"Mario Chalmers",160,NA,NA,NA,NA
"19640",2009,"Jason Kidd",160,NA,NA,NA,NA
"19793",2009,"Rajon Rondo",149,NA,NA,NA,NA
"19415",2009,"Ronnie Brewer",138,NA,NA,NA,NA
"19363",2009,"Trevor Ariza",137,NA,NA,NA,NA
"19612",2009,"LeBron James",137,NA,NA,NA,NA
"19600",2009,"Andre Iguodala",131,NA,NA,NA,NA
"19515",2009,"Raymond Felton",126,NA,NA,NA,NA
"20386",2010,"Rajon Rondo",189,NA,NA,NA,NA
"20043",2010,"Stephen Curry",152,NA,NA,NA,NA
"20237",2010,"Jason Kidd",145,NA,NA,NA,NA
"20074",2010,"Monta Ellis",143,NA,NA,NA,NA
"20459",2010,"Dwyane Wade",142,NA,NA,NA,NA
"20187",2010,"Andre Iguodala",141,NA,NA,NA,NA
"20205",2010,"Stephen Jackson",132,NA,NA,NA,NA
"20410",2010,"Josh Smith",130,NA,NA,NA,NA
"19941",2010,"Trevor Ariza",126,NA,NA,NA,NA
"20047",2010,"Baron Davis",126,NA,NA,NA,NA
"20945",2011,"Chris Paul",188,NA,NA,NA,NA
"20688",2011,"Monta Ellis",168,NA,NA,NA,NA
"21090",2011,"Russell Westbrook",155,NA,NA,NA,NA
"20991",2011,"Rajon Rondo",153,NA,NA,NA,NA
"20643",2011,"Mike Conley",144,NA,NA,NA,NA
"20846",2011,"Jason Kidd",134,NA,NA,NA,NA
"20513",2011,"Tony Allen",129,NA,NA,NA,NA
"20706",2011,"Raymond Felton",125,NA,NA,NA,NA
"20813",2011,"LeBron James",124,NA,NA,NA,NA
"21117",2011,"Metta World",124,NA,NA,NA,NA
"21521",2012,"Chris Paul",152,NA,NA,NA,NA
"21227",2012,"Mike Conley",136,NA,NA,NA,NA
"21485",2012,"Paul Millsap",118,NA,NA,NA,NA
"21396",2012,"LeBron James",115,NA,NA,NA,NA
"21647",2012,"Russell Westbrook",112,NA,NA,NA,NA
"21314",2012,"Paul George",108,NA,NA,NA,NA
"21386",2012,"Andre Iguodala",107,NA,NA,NA,NA
"21590",2012,"Jeff Teague",106,NA,NA,NA,NA
"21136",2012,"Tony Allen",104,NA,NA,NA,NA
"21405",2012,"Brandon Jennings",104,NA,NA,NA,NA
"21784",2013,"Mike Conley",174,NA,NA,NA,NA
"21833",2013,"Monta Ellis",169,NA,NA,NA,NA
"22089",2013,"Chris Paul",169,NA,NA,NA,NA
"22216",2013,"Kemba Walker",160,NA,NA,NA,NA
"22231",2013,"Russell Westbrook",145,NA,NA,NA,NA
"21863",2013,"Paul George",143,NA,NA,NA,NA
"21887",2013,"James Harden",142,NA,NA,NA,NA
"21925",2013,"Andre Iguodala",139,NA,NA,NA,NA
"22128",2013,"Ricky Rubio",137,NA,NA,NA,NA
"21997",2013,"Jeremy Lin",134,NA,NA,NA,NA
"22731",2014,"Ricky Rubio",191,NA,NA,NA,NA
"22862",2014,"Thaddeus Young",167,NA,NA,NA,NA
"22699",2014,"Chris Paul",154,NA,NA,NA,NA
"22334",2014,"Corey Brewer",151,NA,NA,NA,NA
"22474",2014,"Paul George",151,NA,NA,NA,NA
"22833",2014,"John Wall",149,NA,NA,NA,NA
"22442",2014,"Monta Ellis",141,NA,NA,NA,NA
"22370",2014,"Michael Carter-Williams",130,NA,NA,NA,NA
"22645",2014,"Paul Millsap",129,NA,NA,NA,NA
"22685",2014,"Victor Oladipo",129,NA,NA,NA,NA
"23001",2015,"Stephen Curry",163,NA,NA,NA,NA
"23313",2015,"Chris Paul",156,NA,NA,NA,NA
"23115",2015,"James Harden",154,NA,NA,NA,NA
"22891",2015,"Trevor Ariza",152,NA,NA,NA,NA
"23044",2015,"Monta Ellis",148,NA,NA,NA,NA
"23213",2015,"Kawhi Leonard",148,NA,NA,NA,NA
"23317",2015,"Elfrid Payton",142,NA,NA,NA,NA
"23481",2015,"Russell Westbrook",140,NA,NA,NA,NA
"23473",2015,"John Wall",138,NA,NA,NA,NA
"23294",2015,"Nerlens Noel",133,NA,NA,NA,NA
"23634",2016,"Stephen Curry",169,NA,NA,NA,NA
"24071",2016,"Russell Westbrook",163,NA,NA,NA,NA
"23977",2016,"Ricky Rubio",162,NA,NA,NA,NA
"23543",2016,"Trevor Ariza",160,NA,NA,NA,NA
"23850",2016,"Kyle Lowry",158,NA,NA,NA,NA
"23693",2016,"Paul George",152,NA,NA,NA,NA
"23939",2016,"Chris Paul",152,NA,NA,NA,NA
"23659",2016,"Monta Ellis",150,NA,NA,NA,NA
"23893",2016,"Paul Millsap",147,NA,NA,NA,NA
"24061",2016,"John Wall",145,NA,NA,NA,NA
